1;Hamlet
2;The Adventures of Huckleberry Finn
3;Sherlock Holmes
4;The Great Gatsby
5;Nineteen Eighty Four
6;Wuthering Heights
7;The Catcher in the Rye
8;Gulliver's Travels
9;David Copperfield
10;Tom Sawyer
